Account,Counterparty,OrderID,OrderPrice,OrderQty,Side,Market,Symbol,VenueExecID,TradePrice,TradeQty,TradeTime,PrimaryPriceFlag,PrimaryLastPx,PrimaryBidPx,PrimaryAskPx
RSIT_ACCOUNT_6,RSEC_PROP,6410810300100 ,0,1,1,ROL,4452,1.66661E+18,5043,1,45085.404327635,1,5030,5030,5031
RSIT_ACCOUNT_6,RSEC_PROP,6410815600100 ,0,1,1,ROL,4523,1.66661E+18,10534,1,45085.404327661,1,10505,10505,10510
RSIT_ACCOUNT_9,RSEC_PROP,9408095100100 ,0,8,1,ROL,9432,1.66661E+18,4118,8,45085.404353841,1,4108,4107,4108
RSIT_ACCOUNT_9,RSEC_PROP,9408096600100 ,0,1,1,ROL,4452,1.66661E+18,5042,1,45085.404380097,1,5029,5029,5030
RSIT_ACCOUNT_6,RSEC_PROP,6410826800100 ,0,27,2,ROL,9432,1.66661E+18,4097,27,45085.404536757,1,4109,4107,4108
RSIT_ACCOUNT_6,RSEC_PROP,6410827900100 ,0,10,1,ROL,6178,1.66661E+18,1010,10,45085.404553992,1,1007,1007,1007.5
RSIT_ACCOUNT_9,RSEC_PROP,9408108700100 ,0,1,1,ROL,8591,1.66661E+18,2455,1,45085.404651754,1,2449,2449,2449.5
RSIT_ACCOUNT_6,RSEC_PROP,6410832600100 ,0,26,2,ROL,8306,1.66661E+18,968,26,45085.40466539,1,971,971,971.1
RSIT_ACCOUNT_9,RSEC_PROP,9408118200100 ,0,1,1,ROL,6861,1.66661E+18,68240,1,45085.404809433,1,68050,68050,68090
RSIT_ACCOUNT_6,RSEC_PROP,6410849200100 ,0,7,2,ROL,8593,1.66661E+18,771,7,45085.404988186,1,773.5,773.3,773.5
RSIT_ACCOUNT_6,RSEC_PROP,6410850500100 ,0,1,1,ROL,6920,1.66661E+18,20846,1,45085.405009212,1,20795,20790,20800
RSIT_ACCOUNT_6,RSEC_PROP,6410855700100 ,0,1,2,ROL,8035,1.66661E+18,18828,1,45085.405089829,1,18875,18870,18880
RSIT_ACCOUNT_9,RSEC_PROP,9408144300100 ,0,10,1,ROL,8031,1.66661E+18,4903,10,45085.405354565,1,4892,4891,4892
RSIT_ACCOUNT_9,RSEC_PROP,9408146700100 ,0,10,1,ROL,2267,1.66661E+18,9229,10,45085.405402157,1,9208,9202,9208
RSIT_ACCOUNT_9,RSEC_PROP,9408148200100 ,0,20,2,ROL,9984,1.66661E+18,5999,20,45085.40543161,1,6013,6013,6015
RSIT_ACCOUNT_6,RSEC_PROP,6410882400100 ,0,5,1,ROL,9107,1.66661E+18,3291,5,45085.405523148,1,3282,3281,3283
RSIT_ACCOUNT_9,RSEC_PROP,9408157000100 ,0,12,1,ROL,2914,1.66661E+18,3125,12,45085.405645893,1,3118,3116,3118
RSIT_ACCOUNT_9,RSEC_PROP,9408158900100 ,0,10,1,ROL,3563,1.66661E+18,3168,10,45085.405664343,1,3159,3158,3161
RSIT_ACCOUNT_9,RSEC_PROP,9408160100100 ,0,1,1,ROL,2127,1.66661E+18,1016,1,45085.405692797,1,1012.5,1012,1013
RSIT_ACCOUNT_6,RSEC_PROP,6410895700100 ,0,12,1,ROL,9432,1.66661E+18,4113,12,45085.405772919,1,4103,4102,4103
RSIT_ACCOUNT_6,RSEC_PROP,6410902600100 ,0,1,1,ROL,4452,1.66661E+18,5037,1,45085.405890735,1,5024,5023,5025
RSIT_ACCOUNT_9,RSEC_PROP,9408174000100 ,0,10,1,ROL,9503,1.66661E+18,1686,10,45085.405933515,1,1681.5,1681.5,1682
RSIT_ACCOUNT_9,RSEC_PROP,9408178200100 ,0,11,1,ROL,4063,1.66661E+18,4512,11,45085.406018856,1,4501,4500,4502
RSIT_ACCOUNT_6,RSEC_PROP,6410913400100 ,0,5,2,ROL,8591,1.66661E+18,2442,5,45085.406086291,1,2448,2447.5,2448
RSIT_ACCOUNT_6,RSEC_PROP,6410915900100 ,0,10,1,ROL,4452,1.66661E+18,5037,10,45085.406142123,1,5025,5023,5025
RSIT_ACCOUNT_6,RSEC_PROP,6410926700100 ,0,2,2,ROL,8035,1.66661E+18,18823,2,45085.406328012,1,18870,18865,18870
RSIT_ACCOUNT_6,RSEC_PROP,6410929800100 ,0,2,1,ROL,8697,1.66661E+18,2363,2,45085.406362118,1,2356.5,2356,2357
RSIT_ACCOUNT_9,RSEC_PROP,9408193300100 ,0,2,2,ROL,2914,1.66661E+18,3109,2,45085.406387122,1,3117,3116,3118
RSIT_ACCOUNT_9,RSEC_PROP,9408195900100 ,0,4,1,ROL,9432,1.66661E+18,4115,4,45085.406448321,1,4105,4104,4105
RSIT_ACCOUNT_6,RSEC_PROP,6410945300100 ,0,5,2,ROL,6506,1.66661E+18,6299,5,45085.406661298,1,6315,6313,6316
